benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,4.7061,0.0135,4.6871,4.7246,10,0,1
backprop,c,wasm,chrome63,0.4219,0.0015,0.42,0.425,10,1,2
backprop,js,browserify,chrome63,0.7608,0.027,0.733,0.8296,20,1,3
backprop,c,wasm,firefox57,0.4171,0.0038,0.413,0.426,10,2,2
backprop,js,browserify,firefox57,0.8095,0.0131,0.7764,0.8261,10,2,3
bfs,cpp,g++,native,1.7305,0.0052,1.7244,1.7389,10,0,0
bfs,cpp,wasm,chrome63,0.1496,0.002,0.148,0.155,10,1,2
bfs,js,browserify,chrome63,0.2757,0.0017,0.2718,0.2781,10,1,3
bfs,cpp,wasm,firefox57,0.1102,0.0018,0.108,0.116,30,2,2
bfs,js,browserify,firefox57,0.2154,0.005,0.2119,0.2328,30,2,3
crc,c,gcc,native,3.0807,0.0132,3.068,3.1006,10,0,1
crc,c,wasm,chrome63,1.2013,0.0137,1.188,1.225,10,1,2
crc,js,browserify,chrome63,0.9827,0.03,0.9053,1.0232,10,1,3
crc,c,wasm,firefox57,1.0372,0.0126,1.013,1.067,30,2,2
crc,js,browserify,firefox57,2.5821,0.0318,2.5515,2.6758,30,2,3
fft,c,gcc,native,9.935,0.0291,9.9049,9.9816,10,0,1
fft,c,wasm,chrome63,1.0798,0.0366,1.042,1.167,10,1,2
fft,js,browserify,chrome63,4.9922,0.0794,4.9002,5.1127,10,1,3
fft,c,wasm,firefox57,0.8628,0.0279,0.821,0.959,30,2,2
fft,js,browserify,firefox57,1.6278,0.026,1.6024,1.7128,30,2,3
hmm,c,gcc,native,80.2364,0.534,79.4785,81.355,10,0,1
hmm,c,wasm,chrome63,2.4696,0.0818,2.424,2.698,10,1,2
hmm,js,browserify,chrome63,4.0027,0.0188,3.9736,4.0314,10,1,3
hmm,c,wasm,firefox57,1.991,0.0462,1.874,2.147,31,2,2
hmm,js,browserify,firefox57,4.1518,0.0702,4.0194,4.4509,90,2,3
lavamd,c,gcc,native,14.4871,0.0322,14.447,14.5363,10,0,1
lavamd,c,wasm,chrome63,1.3137,0.0221,1.287,1.358,10,1,2
lavamd,js,browserify,chrome63,1.6998,0.0728,1.6596,1.8891,10,1,3
lavamd,c,wasm,firefox57,1.3826,0.0432,1.274,1.496,30,2,2
lavamd,js,browserify,firefox57,1.2316,0.0154,1.2102,1.2648,30,2,3
lud,c,gcc,native,50.4256,2.8528,46.8266,53.122,10,0,1
lud,c,wasm,chrome63,0.8495,0.1167,0.799,1.181,10,1,2
lud,js,browserify,chrome63,1.2311,0.0459,1.187,1.329,10,1,3
lud,c,wasm,firefox57,0.742,0.0652,0.693,1.022,30,2,2
lud,js,browserify,firefox57,1.1933,0.066,1.13,1.478,30,2,3
nqueens,c,wasm,native,12.1646,0.0427,12.1128,12.2364,10,0,2
nqueens,c,wasm,chrome63,3.9922,0.0617,3.952,4.155,10,1,2
nqueens,js,browserify,chrome63,6.0809,0.0218,6.045,6.127,10,1,3
nqueens,c,wasm,firefox57,3.6386,0.0653,3.569,3.801,30,2,2
nqueens,js,browserify,firefox57,5.6643,0.1832,5.363,6.318,30,2,3
nw,c,gcc,native,0.3584,0.001,0.3568,0.3598,10,0,1
nw,c,wasm,chrome63,0.1556,0.0111,0.145,0.176,10,1,2
nw,js,browserify,chrome63,0.2573,0.0058,0.2517,0.2684,10,1,3
nw,c,wasm,firefox57,0.134,0.0016,0.132,0.136,10,2,2
nw,js,browserify,firefox57,0.1886,0.0018,0.1861,0.1922,10,2,3
pagerank,c,gcc,native,4.3809,0.0163,4.3456,4.394,10,0,1
pagerank,c,wasm,chrome63,0.7809,0.0049,0.778,0.794,10,1,2
pagerank,js,browserify,chrome63,0.8708,0.0033,0.8656,0.8776,10,1,3
pagerank,c,wasm,firefox57,0.2919,0.0123,0.25,0.327,30,2,2
pagerank,js,browserify,firefox57,0.4001,0.0148,0.3858,0.4332,30,2,3
spmv,c,gcc,native,14.0484,0.044,13.9895,14.1173,10,0,1
spmv,c,wasm,chrome63,0.9746,0.015,0.964,1.016,10,1,2
spmv,js,browserify,chrome63,23.5353,0.1895,23.4073,24.0321,10,1,3
spmv,c,wasm,firefox57,0.9242,0.0386,0.899,1.086,30,2,2
spmv,js,browserify,firefox57,1.3705,0.028,1.3312,1.4346,30,2,3
srad,c,gcc,native,25.2152,0.8966,24.2902,26.5888,10,0,1
srad,c,wasm,chrome63,3.7024,0.0208,3.658,3.737,10,1,2
srad,js,browserify,chrome63,7.1341,0.167,7.0334,7.5286,10,1,3
srad,c,wasm,firefox57,3.5365,0.0674,3.473,3.765,30,2,2
srad,js,browserify,firefox57,7.3579,0.1458,7.1386,7.6458,30,2,3
