benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,js,browserify,samsung-internet,2.054,0.0063,2.0419,2.0637,11,0,0
backprop,js,browserify,chrome63,1.9436,0.0306,1.9281,2.1028,30,3,0
backprop,js,browserify,firefox57,2.8873,0.0463,2.8372,2.9524,10,8,0
crc,js,browserify,samsung-internet,5.0232,0.0088,5.009,5.034,10,0,0
crc,js,browserify,chrome63,2.7225,0.0061,2.713,2.742,30,3,0
crc,js,browserify,firefox57,24.8541,0.0653,24.775,24.972,10,8,0
fft,js,browserify,samsung-internet,6.4997,0.0338,6.4468,6.5429,10,0,0
fft,js,browserify,chrome63,13.7482,0.0422,13.6396,13.8353,30,3,0
fft,js,browserify,firefox57,2.7769,0.0591,2.6741,2.8732,10,8,0
hmm,js,browserify,samsung-internet,7.305,0.3677,6.736,7.9722,10,0,0
hmm,js,browserify,chrome63,9.5475,0.3111,9.1715,10.8007,30,3,0
hmm,js,browserify,firefox57,10.1018,0.2681,9.7137,10.4766,10,8,0
lavamd,js,browserify,samsung-internet,43.609,0.1574,43.3235,43.8697,10,0,0
lavamd,js,browserify,chrome63,4.0265,0.0146,4.0005,4.0613,30,3,0
lavamd,js,browserify,firefox57,2.4189,0.004,2.4129,2.4269,10,8,0
lud,js,browserify,samsung-internet,5.301,0.505,4.792,6.108,10,0,0
lud,js,browserify,chrome63,7.4243,0.1343,7.159,7.633,30,3,0
lud,js,browserify,firefox57,18.6799,3.5601,15.517,27.02,10,8,0
nqueens,js,browserify,samsung-internet,10.3237,0.0202,10.307,10.378,10,0,0
nqueens,js,browserify,chrome63,13.1981,0.0181,13.176,13.253,30,3,0
nqueens,js,browserify,firefox57,12.3182,0.1657,12.109,12.71,10,8,0
nw,js,browserify,samsung-internet,0.5299,0.0075,0.5233,0.546,10,0,0
nw,js,browserify,chrome63,0.6018,0.0033,0.5958,0.6087,30,3,0
nw,js,browserify,firefox57,0.4423,0.0044,0.4358,0.4491,10,8,0
pagerank,js,browserify,samsung-internet,1.1715,0.032,1.1357,1.222,10,0,0
pagerank,js,browserify,chrome63,1.8572,0.0273,1.7683,1.8863,30,3,0
pagerank,js,browserify,firefox57,1.6393,0.0406,1.5324,1.665,10,8,0
spmv,js,browserify,samsung-internet,4.545,0.0299,4.5313,4.6292,10,0,0
spmv,js,browserify,chrome63,4.9122,0.1277,4.8622,5.2718,10,3,0
spmv,js,browserify,firefox57,5.4151,0.5939,5.203,7.1036,10,8,0
srad,js,browserify,samsung-internet,17.3862,0.0768,17.1887,17.4514,10,0,0
srad,js,browserify,chrome63,17.7645,0.089,17.37,17.8706,30,3,0
srad,js,browserify,firefox57,15.859,0.124,15.6424,16.0617,10,8,0
