benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4434,0.0016,0.4409,0.4456,10,0,0
backprop,js,browserify,firefox39,0.8015,0.0429,0.7403,0.8543,10,2,2
backprop,js,browserify,firefox57,0.8095,0.0131,0.7764,0.8261,10,4,2
bfs,cpp,g++,native,0.1044,0.0021,0.1034,0.1103,10,0,1
bfs,js,browserify,firefox39,0.2192,0.0031,0.2162,0.2277,10,2,2
bfs,js,browserify,firefox57,0.2154,0.005,0.2119,0.2328,30,4,2
crc,c,gcc,native,0.7556,0.0434,0.7295,0.8707,10,0,0
crc,js,browserify,firefox39,2.6374,0.0238,2.5988,2.6824,10,2,2
crc,js,browserify,firefox57,2.5821,0.0318,2.5515,2.6758,30,4,2
fft,c,gcc,native,1.1289,0.0133,1.1146,1.1559,10,0,0
fft,js,browserify,firefox39,5.4165,0.2073,5.0995,5.7497,10,2,2
fft,js,browserify,firefox57,1.6278,0.026,1.6024,1.7128,30,4,2
hmm,c,gcc,native,1.8158,0.0286,1.7817,1.8584,10,0,0
hmm,js,browserify,firefox39,4.4234,0.0708,4.2754,4.5603,10,2,2
hmm,js,browserify,firefox57,4.1518,0.0702,4.0194,4.4509,90,4,2
lavamd,c,gcc,native,3.4651,0.0375,3.4261,3.5436,10,0,0
lavamd,js,browserify,firefox39,2.0951,0.0592,2.0553,2.2609,10,2,2
lavamd,js,browserify,firefox57,1.2316,0.0154,1.2102,1.2648,30,4,2
lud,c,gcc,native,0.6026,0.029,0.5703,0.6494,10,0,0
lud,js,browserify,firefox39,1.3224,0.0522,1.246,1.401,10,2,2
lud,js,browserify,firefox57,1.1933,0.066,1.13,1.478,30,4,2
nqueens,c,gcc,native,2.7059,0.0378,2.6663,2.7734,10,0,0
nqueens,js,browserify,firefox39,6.9533,0.0854,6.82,7.109,10,2,2
nqueens,js,browserify,firefox57,5.6643,0.1832,5.363,6.318,30,4,2
nw,c,gcc,native,0.1007,0.0073,0.0954,0.1142,10,0,0
nw,js,browserify,firefox39,0.1873,0.0018,0.1851,0.1914,10,2,2
nw,js,browserify,firefox57,0.1886,0.0018,0.1861,0.1922,10,4,2
pagerank,c,gcc,native,0.6023,0.1622,0.1705,0.7113,10,0,0
pagerank,js,browserify,firefox39,0.4235,0.0213,0.3899,0.4431,10,2,2
pagerank,js,browserify,firefox57,0.4001,0.0148,0.3858,0.4332,30,4,2
spmv,c,gcc,native,0.6596,0.0289,0.6275,0.7191,10,0,0
spmv,js,browserify,firefox39,1.4055,0.1078,1.3587,1.7095,10,2,2
spmv,js,browserify,firefox57,1.3705,0.028,1.3312,1.4346,30,4,2
srad,c,gcc,native,2.8692,0.0346,2.831,2.9532,10,0,0
srad,js,browserify,firefox39,6.8946,0.9026,5.6851,7.8618,10,2,2
srad,js,browserify,firefox57,7.3579,0.1458,7.1386,7.6458,30,4,2
